id;name;description;price;image;inventory;sold
1;but frozen fooey;../fake-data/blob/hipster.txt;23819.22;overgeneralize as ack;7787;30644
2;pink offensively too;../fake-data/blob/hipster.txt;31550.52;above connotation thrifty;993;10299
3;miracle joyfully;../fake-data/blob/hipster.txt;11621.05;circular whereas beyond;92;27783
4;quintessential phew how;../fake-data/blob/hipster.txt;31011.06;gracefully rightfully;31237;15315
5;yum;../fake-data/blob/hipster.txt;4945.75;haggle;30976;16592
6;soliloquize tugboat forenenst;../fake-data/blob/hipster.txt;29154.36;ha circa;31258;7155
7;usefully continually;../fake-data/blob/hipster.txt;13691.22;eek;12888;23518
8;decline complicate melody;../fake-data/blob/hipster.txt;14997.73;aw;315;19362
9;geez subordinate excepting;../fake-data/blob/hipster.txt;30912.29;unveil indeed fooey;8615;21664
10;hunting closed;../fake-data/blob/hipster.txt;15852.5;knobby dependent mechanically;31528;4096
